"","sampling_cluster_median_date","hen_prevalence_normalized","hen_prevalence_normalized_smooth","ct_threshold","prev_quantile"
"346",2019-08-28,0.115740740740741,0.0694882696786405,35,0.862
"347",2019-09-24,0.0174520069808028,0.0515382837382759,35,0.792
"348",2019-10-28,0.035650623885918,0.0342878037665357,35,0.568
"349",2019-11-27,0.0182149362477231,0.0268027830960678,35,0.418
"350",2019-12-18,0,0.0256303690326025,35,0.368
"351",2020-01-28,0.0718390804597701,0.0306961098705305,35,0.342
"352",2020-02-25,0.0577200577200577,0.0397170904192641,35,0.418
"353",2020-03-25,0.0915750915750916,0.0545199935188342,35,0.504
"354",2020-04-28,0.037037037037037,0.0780971017354191,35,0.626
"355",2020-05-26,0.0529100529100529,0.0982418275993243,35,0.766
"356",2020-06-25,0.114942528735632,0.115582727395762,35,0.844
"357",2020-07-20,0.102564102564103,0.125902508313478,35,0.896
"358",2020-08-05,0.168776371308017,0.130694815399849,35,0.92
"359",2020-08-25,0.198019801980198,0.135127744236032,35,0.93
"360",2020-09-25,0.0934579439252336,0.140036880717275,35,0.93
"361",2017-07-17,1,0.844673012602115,36,0.944
"362",2017-08-08,0.416666666666667,0.61210215935828,36,0.696
"363",2017-09-06,0.284090909090909,0.249824484529065,36,0.098
"364",2017-10-08,0,0.0688804143380265,36,0.042
"365",2017-10-31,0,0.0300665698250345,36,0.028
"366",2017-11-23,0.0892857142857143,0.0161557994910346,36,0.022
"367",2017-12-18,0.111111111111111,0.0112359977769686,36,0.022
"368",2018-01-22,0,0.0115729447755985,36,0.02
"369",2018-02-14,0,0.015385408934067,36,0.022
"370",2018-03-07,0,0.022716830756974,36,0.026
"371",2018-04-27,0,0.0746263319745586,36,0.108
"372",2018-05-19,0.0337837837837838,0.122626610302593,36,0.338
"373",2018-06-06,0.254237288135593,0.174085354750524,36,0.606
"374",2018-06-29,0.27027027027027,0.248283325773028,36,0.846
"375",2018-07-26,0.433070866141732,0.327309413074974,36,0.914
"376",2018-08-30,0.387596899224806,0.376142752345964,36,0.918
"377",2018-09-28,0.398936170212766,0.347043017308239,36,0.892
"378",2018-10-10,0.208333333333333,0.314915897878575,36,0.852
"379",2018-10-27,0.202205882352941,0.2554061983396,36,0.774
"380",2018-11-28,0.160550458715596,0.141932785582648,36,0.42
"381",2019-01-03,0.0632911392405063,0.064129773146352,36,0.116
"382",2019-01-25,0.0342465753424658,0.0418606283847052,36,0.058
"383",2019-02-26,0.0431034482758621,0.0292308452890563,36,0.032
"384",2019-03-10,0,0.028652552048891,36,0.034
"385",2019-03-25,0.0694444444444444,0.0303466176091038,36,0.048
"386",2019-05-02,0.065359477124183,0.0456992806540455,36,0.188
"387",2019-06-05,0.040650406504065,0.0715961565166441,36,0.538
"388",2019-07-01,0.148514851485149,0.0904270588372647,36,0.734
"389",2019-07-15,0.0714285714285714,0.0947376492922607,36,0.8
"390",2019-07-25,0.0704225352112676,0.0942670566649968,36,0.82
"391",2019-08-28,0.104166666666667,0.0772918244512264,36,0.822
"392",2019-09-24,0.0261780104712042,0.0584175915961378,36,0.756
"393",2019-10-28,0.0401069518716578,0.0404564682154429,36,0.568
"394",2019-11-27,0.0136612021857923,0.0329495524777031,36,0.424
"395",2019-12-18,0,0.032367971221202,36,0.392
"396",2020-01-28,0.0969827586206897,0.040342334618363,36,0.426
"397",2020-02-25,0.0757575757575758,0.0528368237062289,36,0.512
"398",2020-03-25,0.123626373626374,0.072173478690666,36,0.622
"399",2020-04-28,0.0555555555555556,0.100118779822161,36,0.71
"400",2020-05-26,0.0595238095238095,0.119964275061616,36,0.776
"401",2020-06-25,0.0862068965517241,0.131417564406115,36,0.814
"402",2020-07-20,0.192307692307692,0.133330883565954,36,0.814
"403",2020-08-05,0.126582278481013,0.131677544704229,36,0.814
"404",2020-08-25,0.198019801980198,0.127450555790266,36,0.77
"405",2020-09-25,0.0700934579439252,0.118641257437116,36,0.73
"406",2017-07-17,1,0.77784415309735,37,0.666
"407",2017-08-08,0.294117647058824,0.571519463096088,37,0.388
"408",2017-09-06,0.280748663101604,0.283668091957139,37,0.218
"409",2017-10-08,0,0.10876662052512,37,0.168
"410",2017-10-31,0.176470588235294,0.05803355309747,37,0.158
"411",2017-11-23,0.126050420168067,0.0359002281535681,37,0.152
"412",2017-12-18,0.0784313725490196,0.0268547603148594,37,0.156
"413",2018-01-22,0,0.0267982334655964,37,0.174
"414",2018-02-14,0,0.0326222195668468,37,0.202
"415",2018-03-07,0,0.0429141129487123,37,0.256
"416",2018-04-27,0.0171330668189606,0.0984819248441534,37,0.546
"417",2018-05-19,0.095389507154213,0.138352947158703,37,0.656
"418",2018-06-06,0.239282153539382,0.175306661673841,37,0.718
"419",2018-06-29,0.262321144674086,0.222543259006326,37,0.768
"420",2018-07-26,0.361278369615563,0.267698966495999,37,0.792
"421",2018-08-30,0.314637482900137,0.290524314092808,37,0.752
"422",2018-09-28,0.319148936170213,0.267933643781288,37,0.642
"423",2018-10-10,0.147058823529412,0.247268612115794,37,0.592
"424",2018-10-27,0.142733564013841,0.210261592788467,37,0.47
"425",2018-11-28,0.129519697787372,0.137827458061948,37,0.236
"426",2019-01-03,0.0893521965748325,0.0802163621154647,37,0.126
"427",2019-01-25,0.072522159548751,0.0603457632622658,37,0.098
"428",2019-02-26,0.0456389452332657,0.0477100849468215,37,0.1
"429",2019-03-10,0.0410396716826265,0.0472137148586959,37,0.11
"430",2019-03-25,0.0735294117647059,0.049255788662094,37,0.144
"431",2019-05-02,0.103806228373702,0.0652821307583599,37,0.336
"432",2019-06-05,0.0430416068866571,0.0881385236326866,37,0.622
"433",2019-07-01,0.139778683750728,0.102276562776145,37,0.772
"434",2019-07-15,0.0504201680672269,0.104692463994723,37,0.814
"435",2019-07-25,0.0994200497100249,0.103576407047796,37,0.834
"436",2019-08-28,0.147058823529412,0.0877351377104817,37,0.864
"437",2019-09-24,0.0554357868801971,0.0706005947722022,37,0.858
"438",2019-10-28,0.0471846492607738,0.0533996042394946,37,0.8
"439",2019-11-27,0.00964320154291225,0.0457427026884236,37,0.714
"440",2019-12-18,0.00824628916987356,0.0451208802628472,37,0.68
"441",2020-01-28,0.114097363083164,0.0532909437650772,37,0.634
"442",2020-02-25,0.0840336134453781,0.0655043647913384,37,0.618
"443",2020-03-25,0.135746606334842,0.0834722765034222,37,0.622
"444",2020-04-28,0.0588235294117647,0.108582235753898,37,0.618
"445",2020-05-26,0.0980392156862745,0.127055032846818,37,0.66
"446",2020-06-25,0.0760649087221095,0.140092217462335,37,0.724
"447",2020-07-20,0.190045248868778,0.145669166190512,37,0.802
"448",2020-08-05,0.178704393149665,0.147155446905507,37,0.832
"449",2020-08-25,0.17472335468841,0.147334782181329,37,0.828
"450",2020-09-25,0.11544804837823,0.14558158668948,37,0.838
"451",2017-07-17,1,0.757946333702874,38,0.328
"452",2017-08-08,0.263157894736842,0.551136176729662,38,0.27
"453",2017-09-06,0.251196172248804,0.274353384508021,38,0.182
"454",2017-10-08,0,0.107742612272443,38,0.172
"455",2017-10-31,0.157894736842105,0.0586106169019342,38,0.174
"456",2017-11-23,0.169172932330827,0.0368318627078573,38,0.18
