"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"110","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","23",0,NA,"VTM","bff_present",2,0
"111","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","24",0,NA,"VTM","bff_present",1,0
"112","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","25",0,NA,"VTM","bff_present",3,0
"113","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","26",0,NA,"VTM","bff_present",1,0
"114","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","28",0,NA,"VTM","bff_present",2,0
"115","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","29",0,NA,"VTM","bff_present",3,0
"116","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","30",0,NA,"VTM","bff_present",2,0
"117","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","32",0,NA,"VTM","bff_present",1,0
"118","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","33",0,NA,"VTM","bff_present",2,0
"119","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","34",0,NA,"VTM","bff_present",1,0
"120","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","35",0,NA,"VTM","bff_present",2,0
"121","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","39",0,NA,"VTM","bff_present",3,0
"122","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","41",0,NA,"VTM","bff_present",2,0
"123","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","43",0,NA,"VTM","bff_present",2,0
"124","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","47",0,NA,"VTM","bff_present",2,0
"125","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","52",0,NA,"VTM","bff_present",3,0
